Code,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.71616095,2.686611279,2.657124478,2.628022879,2.599877041,2.570591329,2.542616204,2.517232507,2.484687323,2.46049271,2.442541143,2.389241438,2.388846996,2.388600729,2.387767757,2.396175083,2.34016577,2.34016577,2.34016577,2.34016577,2.34016577,3.1712581,10.55980276,23.8282831,32.36892858,35.59632706,49.18341039,54.71405769,58.39685357,59.62477952,62.99208617,65.39261616,67.77782328,71.30126479,73.54885147,75.98101498,77.86401808,81.2796645,84.62599197,86.67258728,90.56687842,92.66328059,93.62949804,93.89984552,95.35518076,95.89294859,95.28630433,96.66904621,98.09303248,99.32608783,100
AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.933189288,5.320248335,5.77342311,6.457550369,7.487213841,8.743701657,10.1855313,12.56722115,15.15996989,17.72680013,20.09418361,22.57605492,25.64240771,28.68981439,31.80688631,34.54084076,38.29847539,40.57501273,42.98359668,45.94782893,49.31408227,52.73408272,56.27294631,58.82618568,61.10854872,64.12311269,65.88668746,67.35474211,68.36476784,70.23247729,73.1272494,75.38025547,77.82223443,80.29497613,82.73778938,85.54801534,88.50524667,91.34732717,93.42506507,93.54828327,93.89863625,94.08355736,94.24737245,94.67027092,94.59090414,95.21554324,95.54685675,96.63265497,97.61096794,98.95298281,100
AT,0.000144252,0.00014919,0.000160801,0.000164682,0.000162775,0.000157707,0.000155442,0.000156171,0.000150045,0.000150067,0.000151144,0.000148179,0.000147149,0.00014682,0.000145259,0.000139843,0.000135121,0.000138829,0.000136921,0.000139399,0.000139773,0.000140675,0.000133849,0.000134924,0.000134243,0.000137778,0.000132181,0.000133431,0.000134682,0.000137688,0.000138589,0.000134573,0.000135824,0.000138303,0.000141135,0.000148706,0.000151009,0.000157352,0.000158427,0.00016038,0.000166898,0.000174294,0.000176773,0.000177673,0.000214612,0.00033861,0.000722527,0.00144267,0.002496653,0.005348609,0.010978598,0.02142305,0.56649945,1.621513107,1.836125136,1.913010018,1.879849824,1.970466473,1.979247728,2.018987567,1.986218753,1.935706833,1.989504939,1.94398461,1.919662856,1.914814769,1.896809825,1.897216909,1.875409818,1.897216909,1.962638182,1.984445273,1.984445273,2.006252364,2.006252364,2.006252364,2.178964847,4.275393148,6.966084588,7.558256099,8.38021623,10.42789709,12.04729894,11.92710328,12.34485163,12.82512185,13.38010851,14.00673476,14.05467826,14.33796723,14.94520164,15.70548702,16.2300822,16.82706782,17.36280602,18.28675306,18.85773244,19.47018681,20.02275694,20.57009359,21.89715053,23.25573177,25.02315147,27.03639961,29.60543602,31.51728873,33.29011083,35.02073848,37.11951481,38.64679731,40.80352078,43.54415176,45.87603683,47.46924572,49.81887484,51.29499216,52.80872686,54.09562044,54.92161256,56.54989212,58.24619787,60.36746036,62.46770998,64.19001691,65.81073301,67.00450529,67.66527902,68.5225968,68.82538402,69.00182579,69.94304651,71.30491371,72.12177184,73.06482848,74.33593286,76.22239943,77.66468881,79.38974436,80.94285724,82.47208387,83.19208964,84.71737973,86.45763957,87.86163368,89.77325105,91.83890883,93.53636227,94.47691289,96.17931013,97.73988572,100
BE,0.41771074,0.43700084,0.488087037,0.543777923,0.486288582,0.446515707,0.430163882,0.427159616,0.40997218,0.4012312,0.426670698,0.42693237,0.412915678,0.402740904,0.379323468,0.363587209,0.354564295,0.357638667,0.365909649,0.362490914,0.379196117,0.374006192,0.359813568,0.345762304,0.333151851,0.336997405,0.330500186,0.339272659,0.337899388,0.352876251,0.369460137,0.356167061,0.347038889,0.346815456,0.344126305,0.345837554,0.362978754,0.375074265,0.352146033,0.34776423,0.351133543,0.351942061,0.358854386,0.362456075,,,,,,,1.690460988,1.574680892,1.457802365,1.68730934,1.902968644,1.946350525,2.291065703,2.798533053,3.022791577,3.319542742,3.431721042,3.289509703,3.065496482,3.00487067,2.938071697,2.908663939,2.998452174,3.17898967,3.298593572,3.376870159,,,,,,,9.351014112,9.871865438,11.20932501,11.06003197,10.95593189,11.97129176,12.24657229,12.20164528,12.7926517,12.94202812,13.4208868,13.9058955,14.1087347,14.20098047,14.27474498,14.46294524,14.73887426,15.04324594,15.64408493,16.46704921,17.17188254,17.7223565,17.92654636,18.35577886,19.61039723,20.59327045,21.69877409,23.06947262,26.19490604,29.77156381,32.30427652,34.5961212,36.12907593,37.28272838,38.90612616,40.90515085,44.00231176,46.47166461,48.99959902,51.26716679,52.70099193,53.58853791,54.75087459,57.37750324,58.99120035,60.68816369,62.76643357,65.27284353,66.63985648,67.72046494,68.04323405,68.5587462,69.79667274,70.21468347,71.62924069,73.04950723,74.24752484,75.62116989,77.06930845,78.67471934,80.45647133,82.01066598,83.57612282,84.02173349,85.61149011,87.15874611,88.86803314,89.99777526,90.8821344,92.09121771,93.8601525,95.57804934,97.01941196,98.76074277,100
BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.13677E-07,6.21073E-07,2.80345E-06,2.84051E-06,3.13754E-06,3.29149E-06,3.56137E-06,3.58446E-06,3.47385E-06,3.67019E-06,3.78827E-06,4.50364E-06,4.84492E-06,5.2429E-06,6.1867E-06,7.81E-06,9.0054E-06,9.10097E-06,9.4866E-06,1.02007E-05,1.1477E-05,1.38719E-05,1.5811E-05,1.88096E-05,2.28661E-05,2.75027E-05,3.08052E-05,3.58455E-05,4.11492E-05,4.98473E-05,6.46772E-05,9.15302E-05,0.000117901,0.000165326,0.000254467,0.000455501,0.000864219,0.001919254,0.005888996,0.087568171,0.460574342,0.710042199,,,26.70658844,33.54108318,31.74711815,41.61317322,41.98845417,44.31253504,57.6041456,60.32690044,63.34789294,64.2413463,65.63015639,69.6920634,75.12813722,79.78303905,85.63679889,85.79555055,87.00263261,89.11891404,89.82771457,89.62673104,90.52291654,91.75939393,93.0503905,94.62875995,97.22901864,99.78744327,100
BG,,,,,,,,,,,,,,,,,,2.80119E-05,2.59871E-05,2.5818E-05,2.79021E-05,3.10116E-05,2.99641E-05,3.04903E-05,2.98946E-05,2.89868E-05,2.79185E-05,3.08014E-05,2.93816E-05,2.80381E-05,2.68469E-05,2.67439E-05,2.76026E-05,2.74616E-05,2.88308E-05,3.15097E-05,3.19148E-05,3.50916E-05,3.6645E-05,3.73918E-05,3.7321E-05,3.86425E-05,4.24262E-05,4.48701E-05,4.61359E-05,5.39676E-05,7.30647E-05,0.000122315,0.000233345,0.000445912,0.000597601,0.000654236,0.000880157,0.000934457,0.001005745,0.001067819,0.001081064,0.001138114,0.001199982,0.0011851,0.000920522,0.000824129,0.000753235,0.000679536,0.000701561,0.000679218,0.000671112,0.000730905,0.000788714,0.000829867,0.000956215,0.00119395,0.001535711,0.00185663,0.00284785,0.003976363,0.004524072,0.005148459,,,0.019164972,0.01994226,0.021679756,0.022183673,0.022022111,0.02139929,0.020811603,0.021997459,0.021983864,0.024649177,0.023951816,0.023622722,0.023876311,0.025126128,0.025457313,0.025687949,0.026098055,0.026057221,0.028605346,0.029807888,0.03175222,0.029365186,0.029450235,0.029431527,0.029483016,0.029576667,0.029440409,0.028323059,0.032442748,0.035694842,0.039619488,0.04073713,0.041517846,0.041249943,0.042378984,0.042475582,0.043047357,0.043074964,0.040753333,0.043495684,0.054885886,0.197397398,0.314960111,0.475855461,0.821656573,1.727824195,2.815667176,28.52926183,38.21515382,39.48356324,42.39783974,44.99161125,46.72303457,47.74601426,50.41095903,53.73519877,57.36579035,63.70350989,68.86375842,71.57569175,72.12264306,76.53141037,77.38258736,77.43824378,78.47657867,80.78908822,83.47300381,87.48818847,91.19135557,95.96679395,100
HR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35428E-07,1.3706E-07,6.18675E-07,6.26853E-07,6.92403E-07,7.26377E-07,7.85935E-07,7.91029E-07,7.6662E-07,8.0995E-07,8.36009E-07,9.93879E-07,1.06919E-06,1.15702E-06,1.3653E-06,1.72354E-06,1.98734E-06,2.00843E-06,2.09353E-06,2.25111E-06,2.53279E-06,3.0613E-06,3.48922E-06,4.15097E-06,5.04617E-06,6.06938E-06,6.79819E-06,7.9105E-06,9.08093E-06,1.10005E-05,1.42732E-05,2.01992E-05,2.60188E-05,3.64847E-05,5.61566E-05,0.000100521,0.000190719,0.000423547,0.001299602,0.019324823,0.101641016,0.202596636,1.407748434,22.05641922,46.70629079,49.1889083,51.10293003,54.62321198,59.10210412,61.17210675,63.82706238,66.52502813,69.07766185,72.05059739,74.67001823,77.00100573,79.99349103,83.40420414,87.99552954,90.604907,91.44702802,92.99861992,94.32422802,95.05372144,95.19546462,95.27127071,95.19988155,96.30768658,98.24382663,100.1294248,100
CY,,,,,,,,,2.264995136,2.212979936,2.220854639,2.191986608,2.219535176,2.167089371,2.133906029,2.113834889,2.124387255,2.120733053,2.121814764,2.165431154,2.196168599,2.127392035,2.136147698,2.15863798,2.171910346,2.14706139,2.134629748,2.157853272,2.173293641,2.224624627,2.311924556,2.279751527,2.254966892,2.248407742,2.224479123,2.233530713,2.266952634,2.29310898,2.273879786,2.268685865,2.300279011,2.313260477,2.370706477,2.369311168,2.350247752,2.668850629,3.05854194,3.805806825,4.432707634,5.16559313,6.002565291,5.461134292,4.712517431,4.368250693,4.280617655,4.269626811,4.251820478,4.17537107,4.138615151,4.104653456,4.069819553,3.992112322,3.903259073,3.850543264,3.818743646,3.847753221,3.880674893,4.010198257,4.104088459,4.228893745,4.669738499,5.175953522,5.571366398,5.82971049,6.150892729,6.272948369,6.470524641,7.083386283,7.537649785,7.769679777,7.870538556,8.519785354,9.115965962,9.273915376,9.374408388,9.817911445,10.49748477,10.91707833,11.31711195,11.39971968,11.49091744,11.42197193,11.43339391,11.66206178,11.61541354,11.65025978,11.70851108,11.79047065,12.23850854,12.53223274,12.83300633,13.10972285,13.93252949,15.08593787,16.76459933,17.46435151,19.04318848,20.8428661,23.18404225,26.23262838,29.90219739,33.42818393,36.79524806,38.74809369,41.8931477,44.30575736,46.13309604,47.94293779,49.54526068,51.90707745,54.5761522,56.73427522,60.14031719,63.03273474,66.39495219,66.32005391,68.0715674,69.59408805,70.96245353,72.59624648,74.5875133,77.31749227,77.54658254,81.72491616,83.93860756,85.63403301,88.27677633,91.92977002,96.28248517,96.53589887,98.35142504,99.94150498,101.6157565,100.654629,99.31247847,98.5632277,97.99892354,99.01710029,100.0106862,101.1335518,100
CZ,0.110141168,0.113911248,0.122776551,0.125739937,0.124283389,0.120414051,0.118685027,0.119241749,0.11456435,0.114580716,0.115402991,0.1131395,0.112352798,0.112101797,0.110909974,0.106774338,0.103169417,0.106000523,0.104543751,0.106435808,0.106720973,0.10740951,0.1021976,0.103018883,0.102498643,0.105197604,0.10092462,0.101878869,0.102833743,0.105128754,0.105817011,0.102750751,0.103705903,0.105598845,0.107760752,0.113541565,0.115300305,0.120142985,0.120963672,0.122455206,0.127431658,0.133078893,0.134972031,0.135658906,,,,,,,,2.242441714,1.809689804,1.32294565,1.347906889,1.360387508,1.285503792,1.32294565,1.32294565,1.248061934,1.110775121,1.010930166,0.923565831,0.898604592,0.923565831,0.961007689,0.961007689,1.023410786,1.010930166,1.160697599,1.410309985,1.51015494,1.547596798,1.560077417,1.572558037,1.747286707,3.057751738,2.925217607,2.887350712,3.327466466,3.445784515,3.794344102,3.862512825,20.11019119,18.50203228,18.38289725,17.27813584,17.0274629,16.69990543,15.99098286,15.88159478,15.69292376,15.78416169,15.87593007,15.5104479,15.34326332,15.46038401,17.49895837,17.97116971,19.09299304,19.18035294,19.14213845,19.0958978,19.00207402,19.30400852,19.09054239,18.79444597,17.43374725,17.71049526,17.92678566,18.52347817,18.02799418,18.67282856,18.71692392,19.20810363,19.14924326,19.09352549,19.17935842,19.44850816,19.70332117,21.70687769,29.56311516,33.21630693,40.19465538,45.15546634,49.13868458,54.00591744,58.49462313,64.23175452,66.18555364,67.40478004,70.70039182,72.62651751,73.56537694,76.54407239,76.6167466,77.11790082,79.84816895,81.45278277,83.56063473,82.36963331,82.35268826,83.54756077,84.68773829,86.87144238,87.73344699,88.73488095,89.89459643,92.20317466,95.78966797,100
DK,1.380123715,1.40595183,1.407977895,1.527951239,1.540458083,1.511249349,1.525533112,1.4581632,1.375284394,1.333191257,1.442030204,1.427173799,1.394036866,1.377877015,1.324900758,1.286515835,1.233836533,1.204708446,1.214881187,1.272627322,1.298803254,1.331540042,1.295800013,1.265788044,1.227490672,1.219622026,1.198972053,1.213097884,1.259339743,1.269904716,1.334099494,1.328688051,1.320281627,1.305771835,1.292383738,1.339208239,1.359938668,1.401831845,1.385022177,1.375246102,1.403282364,1.421673262,1.496106827,1.536948863,1.589384444,1.949315351,2.440178546,2.756593287,3.392865856,3.671613705,4.454108431,3.594142404,2.913955541,2.940379028,3.191473757,3.06069653,2.597830609,2.451178449,2.423538355,2.423984104,2.248955816,2.093688973,2.047489547,2.136458536,2.248043697,2.350664019,2.405288291,2.506831352,2.575118982,2.658890378,3.280179431,4.134286477,4.550648182,4.639773254,4.662802756,5.080903618,4.649642236,4.852739243,5.097321972,5.217723815,5.566357379,5.991603294,6.29359273,6.311110889,6.391597574,6.575197172,6.881429025,6.983571101,7.105098235,7.360032844,7.493676217,7.960935055,8.538774979,8.757260772,9.259140181,9.865095259,10.52999546,10.99905826,11.61861062,12.45071007,13.57516597,14.58589321,15.9863763,17.68416381,20.03017125,22.7053895,24.83516118,27.03949568,29.46080703,31.54333144,34.32248661,37.99285175,41.84705988,44.93785836,47.61581168,49.65902095,50.80888394,53.22469367,55.32423641,58.07123299,59.58248772,61.16707257,62.17991027,62.54052412,63.5195841,64.33418271,65.63000191,66.95170204,67.77668889,68.91855762,70.9984883,72.78648822,74.49526926,75.59913965,77.18353849,79.42678225,81.07584531,83.04782186,86.48162062,86.93912811,89.74210162,90.31523548,92.46038529,93.28159469,94.24438159,94.65247939,94.89346746,96.01764569,96.73571857,97.45362078,100
EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.50059E-06,,,,,,,,,0.001695134,0.001710136,0.001596226,0.001805495,0.001786317,0.0017294,0.001843448,0.001900352,0.001691414,0.001520135,0.001387315,0.001292199,0.001292213,0.00129219,0.001463339,0.001539398,0.001615299,0.001660747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341548649,0.843027382,8.321172066,14.94951075,20.87257571,27.33039317,33.49133891,36.81413052,39.35183977,41.8949646,43.43809251,46.39266302,48.64605201,50.53767468,52.90834223,56.04251264,61.07400593,68.62177739,73.29016339,73.00511465,74.33541448,78.40462819,81.59726008,84.88646768,87.36146639,88.26696976,90.19759198,93.43594523,97.196519,100.2960758,100
FI,0.019182791,0.020054736,0.020752292,0.021449848,0.022815895,0.022408987,0.022641506,0.022408987,0.019705958,0.018630559,0.020519773,0.021188264,0.020694162,0.020170995,0.019705958,0.018892142,0.017584225,0.017264512,0.017409836,0.018659624,0.018688688,0.019909411,0.020025671,0.019473439,0.018659624,0.01839804,0.018717753,0.019735022,0.020810421,0.02200208,0.022554311,0.022176469,0.022089274,0.022815895,0.022438052,0.023164673,0.023716905,0.024298201,0.024443526,0.024123812,0.024443526,0.025228276,0.025780508,0.025635184,0.026448999,0.030576206,0.042347464,0.078213469,0.129396642,0.170174605,0.242284458,0.276319379,0.274837073,0.274691749,0.283527458,0.28942762,0.290648343,0.301838304,0.305035436,0.292275973,0.268006837,0.24379583,0.246905767,0.248155555,0.252689669,0.255043921,0.263123945,0.293176983,0.300588516,0.305529538,0.36921059,0.44280275,0.547203635,0.628933948,0.705229138,1.151868446,1.600832941,2.1270227,2.718521142,2.772552669,3.291999387,4.423784033,4.441455452,4.340862061,4.427911239,4.663685175,5.03359332,5.261810399,5.662120361,5.756581073,5.928470502,6.245131872,6.493316491,6.827503956,7.317420802,7.685003761,8.048052605,8.640539252,9.682949532,10.08477087,10.47290266,11.27096488,12.21542667,13.93507665,17.06794607,19.54072404,22.07818858,24.15331908,25.9405543,28.07211556,30.78385224,34.3649982,37.47572318,40.54533673,43.96832619,46.26222335,48.45998064,50.53578521,54.41841984,57.9722781,60.98380361,61.90567828,62.45499648,63.55803748,64.73050831,67.45003243,67.39715144,68.7990122,70.93048486,71.58798229,72.7604705,75.16422498,75.8740091,76.01817341,76.47656172,77.18714442,77.89736017,80.04234487,82.47340259,83.93655612,84.20765142,86.41698058,88.98682516,91.26366694,92.75277612,94.25244707,94.33467027,95.10780687,97.01209438,98.46277481,100
FR,0.03591447,0.037232334,0.035920625,0.037534221,0.03570063,0.034878245,0.035591451,0.03519231,0.034725794,0.03404413,0.03462489,0.034741663,0.034889523,0.034029912,0.032894927,0.032281502,0.031923949,0.031589886,0.031945302,0.033301685,0.034311203,0.034001106,0.032444588,0.031297757,0.030453895,0.02974631,0.030050544,0.032213262,0.032210854,0.031118062,0.031690733,0.030358873,0.031821874,0.033106797,0.03205386,0.031663551,0.033330544,0.034758924,0.033663331,0.03472532,0.037720783,0.037874588,0.03828153,0.038686594,0.037831642,0.0492782,0.064034192,0.085743645,0.107926128,0.108158113,0.149919488,0.119245814,0.1176614,0.135771336,0.138700986,0.157576253,0.200486921,0.192677083,0.19539051,0.19195914,0.190586253,0.181273534,0.172728402,0.150700872,0.140713518,0.128315269,0.149025605,0.19821171,0.209654854,0.22292905,0.29729846,0.369575897,0.437513812,0.516229761,0.590669806,0.847779337,1.483900155,2.293756776,4.016188449,4.521645568,4.934150425,5.875352355,6.639419673,6.655754755,6.695426161,6.833231092,7.173990934,7.675493311,8.629043298,9.171426481,9.411231583,9.719146078,10.19502401,10.75840283,11.18808336,11.52393659,11.86641312,12.22731439,12.76522747,13.7093416,14.45303763,15.30582309,16.34738026,17.6322158,19.71853438,22.43050332,24.84160494,27.02149493,29.52884411,32.57335418,36.38018168,40.63374251,45.54829818,49.94386605,53.47366326,56.38998775,59.2405984,60.69546515,62.63371496,64.69138754,66.41034303,68.10187082,69.44147258,70.56885695,71.2215691,72.02261442,73.00073774,73.64183144,74.34162228,74.49313878,75.65023347,77.16954298,78.76496597,80.22949672,81.53136106,83.11008655,84.90138102,87.07200115,89.13305973,89.19244686,90.1465362,91.00108949,92.05836294,92.77466954,93.30992766,94.37202677,94.86517662,95.35997182,96.30615687,97.53751983,100
